company,location,salary,title
"

        Valassis Digital","Morrisville, NC",Unknown,Data Scientist
"
        BestReviews","San Francisco, CA",Unknown,Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $67,968 - $126,062 a year

",Data Scientist
"

        red violet","Seattle, WA",Unknown,Data Scientist
"

        Echo Global Logistics","Chicago, IL",Unknown,Data Scientist
"

        UCHealth","Aurora, CO",Unknown,Data Scientist
"
        Zelus Analytics","Austin, TX","


                            $80,000 - $110,000 a year

",Data Scientist - Sports
"

        IBM","Austin, TX","


                            $70,000 - $110,000 a year

",Junior Data Scientist - Client Technical Specialist
"

        IBM",United States,Unknown,Entry Level Data Scientist
"

        Microsoft","Redmond, WA",Unknown,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences
"

        IBM","New York, NY","


                            $80,000 - $120,000 a year

",Junior Data Scientist - New York City
"
        Numero Data LLC","Herndon, VA","


                            $70,000 a year

",Data Scientist (Jr)
"

        Oracle","Austin, TX",Unknown,Data Scientist
"

        Cincinnati Reds","Cincinnati, OH",Unknown,Data Scientist
"
        Skylight",Remote,"


                            $130,000 - $165,000 a year

",Data Scientist
"
        Numerdox","Sacramento, CA",Unknown,Data Scientist - Entry Level
"
        NarrativeDx","Austin, TX",Unknown,Data Scientist
"
        Seen by Indeed","Chicago, IL",Unknown,Data Scientist
"

        National Security Agency","Fort Meade, MD","


                            $99,172 - $152,352 a year

",Data Scientist
"

        BD","Boston, MA",Unknown,Data Scientist
"

        Mille Lacs Corporate Ventures","Saint Paul, MN",Unknown,Data Scientist
"

        BankUnited","Miami Lakes, FL",Unknown,Data Scientist
"
        Valen Analytics","Denver, CO",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"

        Abstract Tokenization","Seattle, WA","


                            $100,000 - $130,000 a year

",Data Scientist
"

        IBM",United States,Unknown,Entry Level - Associate Data Scientist
"

        Apple","Austin, TX",Unknown,Data Scientist - Applied Machine Learning
"
        Idiomatic","St. Louis, MO","


                            $18 an hour

",Data Classification Specialist
"

        LOCKHEED MARTIN CORPORATION","Fort Worth, TX",Unknown,Data Scientist
"

        Customer Value Partners","Washington, DC",Unknown,Data Scientist - Entry Level
"

        ClosedLoop.ai","Austin, TX",Unknown,Healthcare Data Scientist
"
        REPAY","Atlanta, GA",Unknown,Junior Data Scientist - R / Python - Data Mining / Statistical Modeling / Advanced Machine Learning Algorithms
"

        Centers for Disease Control and Prevention","Atlanta, GA","


                            $93,282 - $121,264 a year

",Health Scientist (Data Scientist)
"
        Dosh","Austin, TX",Unknown,Data Scientist
"

        Under Armour, Inc.","Austin, TX",Unknown,Data Scientist
"

        eBay Inc.","San Francisco, CA",Unknown,"Data Scientist, Product Analytics"
"

        Central Intelligence Agency","Washington, DC","


                            $21.93 - $26.43 an hour

",Undergraduate Internship/Co-op Program - Data Scientist
"

        National Security Agency","Fort Meade, MD","


                            $99,172 - $152,352 a year

",Data Scientist
"

        BD","Boston, MA",Unknown,Data Scientist
"

        Mille Lacs Corporate Ventures","Saint Paul, MN",Unknown,Data Scientist
"

        BankUnited","Miami Lakes, FL",Unknown,Data Scientist
"
        Valen Analytics","Denver, CO",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"

        Abstract Tokenization","Seattle, WA","


                            $100,000 - $130,000 a year

",Data Scientist
"

        IBM",United States,Unknown,Entry Level - Associate Data Scientist
"

        Apple","Austin, TX",Unknown,Data Scientist - Applied Machine Learning
"
        Idiomatic","St. Louis, MO","


                            $18 an hour

",Data Classification Specialist
"

        LOCKHEED MARTIN CORPORATION","Fort Worth, TX",Unknown,Data Scientist
"

        Customer Value Partners","Washington, DC",Unknown,Data Scientist - Entry Level
"

        ClosedLoop.ai","Austin, TX",Unknown,Healthcare Data Scientist
"
        REPAY","Atlanta, GA",Unknown,Junior Data Scientist - R / Python - Data Mining / Statistical Modeling / Advanced Machine Learning Algorithms
"

        Centers for Disease Control and Prevention","Atlanta, GA","


                            $93,282 - $121,264 a year

",Health Scientist (Data Scientist)
"
        Dosh","Austin, TX",Unknown,Data Scientist
"

        Under Armour, Inc.","Austin, TX",Unknown,Data Scientist
"

        eBay Inc.","San Francisco, CA",Unknown,"Data Scientist, Product Analytics"
"

        Central Intelligence Agency","Washington, DC","


                            $21.93 - $26.43 an hour

",Undergraduate Internship/Co-op Program - Data Scientist
