company,location,salary,title
"

        Ohio Health","Dublin, OH",Unknown,Data Scientist
"
        BestReviews","San Francisco, CA",Unknown,Data Scientist
"
        NarrativeDx","Austin, TX",Unknown,Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $67,968 - $126,062 a year

",Data Scientist
"

        Indeed","Austin, TX","


                            $130,000 - $162,000 a year

","Senior Data Scientist, Product - Resume Search"
"

        Echo Global Logistics","Chicago, IL",Unknown,Data Scientist
"
        Seen by Indeed","Chicago, IL",Unknown,Data Scientist
"
        Zelus Analytics","Austin, TX","


                            $80,000 - $110,000 a year

",Data Scientist - Sports
"

        Texas Commission on Environmental Quality","Austin, TX","


                            $4,301 - $4,745 a month

",Chemical Data Scientist
"

        IBM","Austin, TX","


                            $70,000 - $110,000 a year

",Junior Data Scientist - Client Technical Specialist
"
        Numerdox","Sacramento, CA",Unknown,Data Scientist - Entry Level
"

        Microsoft","Redmond, WA",Unknown,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences
"

        ClosedLoop.ai","Austin, TX",Unknown,Healthcare Data Scientist
"
        Zelus Analytics","Austin, TX","


                            $110,000 - $140,000 a year

",Senior Data Scientist - Sports
"

        IBM",United States,Unknown,Entry Level - Associate Data Scientist
"

        IBM",United States,Unknown,Entry Level Data Scientist
"

        Amazon.com Services, Inc.","Austin, TX",Unknown,Data Scientist
"

        Pacific Life","Newport Beach, CA",Unknown,Data Scientist
"

        Valassis Digital","Morrisville, NC",Unknown,Data Scientist
"

        eBay Inc.","San Francisco, CA",Unknown,"Data Scientist, Product Analytics"
"
        Valen Analytics","Denver, CO",Unknown,Data Scientist
"

        National Security Agency","Fort Meade, MD","


                            $99,172 - $152,352 a year

",Data Scientist
"

        Prudential","Newark, NJ",Unknown,Data Scientist
"

        CGI Group, Inc.","Arlington, VA",Unknown,Junior Data Scientist
"
        RegLab","Stanford, CA",Unknown,Data Scientist
"

        UCHealth","Aurora, CO",Unknown,Data Scientist
"

        Zilliant","Austin, TX",Unknown,Data Scientist (Austin)
"

        Google","San Francisco, CA",Unknown,"Data Scientist, Engineering"
"

        Starbucks","Seattle, WA",Unknown,"data scientist, Insights & Analytics - Seattle, WA"
"

        Cincinnati Reds","Cincinnati, OH",Unknown,Data Scientist
"
        Systems Soft Technologies","Orlando, FL",Unknown,Data Scientist
"

        W2O","Austin, TX",Unknown,Data Scientist
"

        Booz Allen Hamilton","Seattle, WA",Unknown,"Data Scientist, Junior"
"

        Under Armour, Inc.","Austin, TX",Unknown,Data Scientist
"

        Microsoft","Redmond, WA",Unknown,Internship Opportunities for Students: Data & Applied Sciences
"

        Signature Science, LLC","Austin, TX",Unknown,Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $21.93 - $26.43 an hour

",Undergraduate Internship/Co-op Program - Data Scientist
"

        red violet","Seattle, WA",Unknown,Data Scientist
"

        eBay Inc.","San Francisco, CA",Unknown,"Data Scientist, Product Analytics"
"
        Valen Analytics","Denver, CO",Unknown,Data Scientist
"

        National Security Agency","Fort Meade, MD","


                            $99,172 - $152,352 a year

",Data Scientist
"

        Prudential","Newark, NJ",Unknown,Data Scientist
"

        CGI Group, Inc.","Arlington, VA",Unknown,Junior Data Scientist
"
        RegLab","Stanford, CA",Unknown,Data Scientist
"

        UCHealth","Aurora, CO",Unknown,Data Scientist
"

        Zilliant","Austin, TX",Unknown,Data Scientist (Austin)
"

        Google","San Francisco, CA",Unknown,"Data Scientist, Engineering"
"

        Starbucks","Seattle, WA",Unknown,"data scientist, Insights & Analytics - Seattle, WA"
"

        Cincinnati Reds","Cincinnati, OH",Unknown,Data Scientist
"
        Systems Soft Technologies","Orlando, FL",Unknown,Data Scientist
"

        W2O","Austin, TX",Unknown,Data Scientist
"

        Booz Allen Hamilton","Seattle, WA",Unknown,"Data Scientist, Junior"
"

        Under Armour, Inc.","Austin, TX",Unknown,Data Scientist
"

        Microsoft","Redmond, WA",Unknown,Internship Opportunities for Students: Data & Applied Sciences
"

        Signature Science, LLC","Austin, TX",Unknown,Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $21.93 - $26.43 an hour

",Undergraduate Internship/Co-op Program - Data Scientist
"

        red violet","Seattle, WA",Unknown,Data Scientist
"

        Solarity Credit Union","Yakima, WA","


                            $66,360 - $103,680 a year

",Senior Data Analyst
"

        eBay Inc.","San Jose, CA",Unknown,Data scientist
"

        BD","Boston, MA",Unknown,Data Scientist
"

        BankUnited","Miami Lakes, FL",Unknown,Data Scientist
"

        Just Auto Insurance","Los Angeles, CA","


                            Up to $160,000 a year

",Senior Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist / Economist
"

        ExxonMobil","Spring, TX",Unknown,Associate Data Scientist (BS / MS)
"

        Oracle","Austin, TX",Unknown,Data Scientist
"

        IBM","New York, NY","


                            $80,000 - $120,000 a year

",Junior Data Scientist - New York City
"
        win2lead LLC","Memphis, TN","


                            $60 - $80 an hour

",Data Scientist
"
Data Quantist","Austin, TX",Unknown,Data Scientist
"
        Dosh","Austin, TX",Unknown,Data Scientist
"
        1Thread",United States,Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,Data Scientist - Batteries
"
        Skylight",Remote,"


                            $130,000 - $165,000 a year

",Data Scientist
"

        Microsoft","Redmond, WA",Unknown,Data Scientist
"
        Aegis Premier Technologies","Westminster, CO",Unknown,Data Scientist
"

        Mille Lacs Corporate Ventures","Saint Paul, MN",Unknown,Data Scientist
"

        Abstract Tokenization","Seattle, WA","


                            $100,000 - $130,000 a year

",Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"

        ASRC Federal Holding Company","Moorestown, NJ",Unknown,Data Scientist- REMOTE
"

        CSL Behring","Kankakee, IL",Unknown,Data Analytics Scientist
"
        Tredence Inc.","Seattle, WA","


                            $100,000 - $130,000 a year

",Data Scientist / Data Analytics
"

        Gap International","Springfield, PA",Unknown,Data Scientist
"
        Valkyrie Intelligence","Austin, TX","


                            $85,000 - $120,000 a year

",Data Scientist
"

        Apple","Austin, TX",Unknown,Data Scientist
"

        Saama Technologies Inc","West, TX",Unknown,Data Scientist
"

        Zensar Technologies","Austin, TX",Unknown,Data Scientist
"

        Microsoft","Redmond, WA",Unknown,Full Time Opportunities for PhD Students or Recent Graduates: Data & Applied Sciences
"

        Nike","New York, NY",Unknown,Associate Data Scientist SNKRS
"
        Spacemaker","Boston, MA",Unknown,"Data Scientist Intern, Boston"
"
        Idiomatic","St. Louis, MO","


                            $18 an hour

",Data Classification Specialist
"
        Source Enterprises","New York, NY",Unknown,Data Scientist
"

        Google","Mountain View, CA",Unknown,"Data Scientist, PhD University Graduate, 2020 Start"
"
        The Denzel Group","Edison, NJ",Unknown,Data Scientist
"
        TechMileage Software Solutions","Long Beach, CA",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"
        PrecisionGx",Remote,Unknown,Data Scientist
"

        NBCUniversal","Beverly Hills, CA",Unknown,Data Scientist
"

        University of Texas at Austin","Austin, TX",Unknown,Geospatial Software Developer and Data Scientist
"
        DarkOwl","Denver, CO",Unknown,Data Scientist
"
        Conceptualeyes, LLC","Seattle, WA",Unknown,Data Scientist – Natural Language Processing
"

        BBVA Compass","Houston, TX",Unknown,Data Scientist/Specialist
"

        Kaplan",Remote,Unknown,Data Scientist
"
        Digitalogy","New York, NY","


                            $50 - $80 an hour

",Data Scientist
"

        Gates Corporation","Denver, CO",Unknown,Data Scientist
"
        SemanticBits",Remote,Unknown,Data Scientist-Remote
"

        Paypal","San Jose, CA",Unknown,Data Scientist
"

        Central Intelligence Agency","Washington, DC","


                            $27.17 - $36.60 an hour

",Graduate Studies Program - Data Scientist
"

        CGI Group, Inc.","Birmingham, AL",Unknown,Data Scientist
"

        Lucid Motors","Newark, CA",Unknown,Senior Data Scientist
"

        The Hartford","Hartford, CT",Unknown,Data Scientist
"

        Amsted Rail Company Inc.","Granite City, IL",Unknown,Data Scientist
"

        Indeed","Austin, TX","


                            $157,000 - $191,000 a year

",Senior Data Scientist
"

        BCD Travel Corporate","Atlanta, GA",Unknown,Data Scientist - Virtual
"

        Facebook","New York, NY",Unknown,"Data Scientist, Analytics (University Grad)"
"
        Employment Placement Agency","Irving, TX","


                            $55 - $75 an hour

",Data Scientist
"

        Microsoft","Redmond, WA",Unknown,Data & Applied Scientist
"
        Yang2020","New York, NY","


                            $1,000 a month

",Data Scientist
"

        Proofpoint","Sunnyvale, CA",Unknown,Data Scientist
"

        Grab Taxi","Bellevue, WA",Unknown,AI Data Scientist
"

        Cisco Careers","San Jose, CA",Unknown,Data Scientist (Full Time) - United States
"

        Apple","Seattle, WA",Unknown,Data Scientist - Experimentation
"

        Degreed",Remote,Unknown,Data Scientist
"

        Verizon","Denver, CO",Unknown,Data Scientist
"

        The Hartford","Hartford, CT",Unknown,Data Scientist - Incubation Lab
"

        NT Concepts","Fort Worth, TX",Unknown,Data Scientist
"
        AllyO","Palo Alto, CA",Unknown,Data Scientist
"

        Riverside Research","Wright-Patterson AFB, OH",Unknown,Data Scientist
"
        Power Factors","Larkspur, CA",Unknown,"Data Scientist, Solar"
"
        Blue Owl","San Francisco, CA","


                            $200,000 - $350,000 a year

",Data Scientist
"

        Trinity Solar","Monmouth County, NJ",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"

        Transamerica","Denver, CO",Unknown,"Internship - Data Scientist, Denver CO (Summer 2020)"
"
        Scout Clean Energy","Boulder, CO",Unknown,Data Scientist Level 1
"

        Apple","Santa Clara Valley, CA",Unknown,Health Sensing Data Scientist
"
        REPAY","Atlanta, GA",Unknown,Junior Data Scientist - R / Python - Data Mining / Statistical Modeling / Advanced Machine Learning Algorithms
"

        Booz Allen Hamilton","San Diego, CA",Unknown,"Data Scientist, Mid"
"

        Centers for Disease Control and Prevention","Atlanta, GA","


                            $93,282 - $121,264 a year

",Health Scientist (Data Scientist)
"

        LOCKHEED MARTIN CORPORATION","Fort Worth, TX",Unknown,Data Scientist
"

        Strike Social","Chicago, IL",Unknown,Data Scientist (Entry Level)
"
        Smartlocating Corporation",United States,Unknown,Data Scientist / Analyst
"

        Facebook","New York, NY",Unknown,"Data Scientist, Analytics, Intern"
"
        Technical Recruiting Solutions","Lafayette, IN","


                            $70,000 - $120,000 a year

",Data Scientist (Python)
"

        CaptionCall","Salt Lake City, UT",Unknown,Data Scientist
"

        CGI Group, Inc.","Fairfax, VA",Unknown,Data Scientist Opportunity
"

        Wells Fargo","Charlotte, NC",Unknown,Data Science Full Time Associate
"

        Intuit","San Diego, CA",Unknown,Staff Data Scientist - Analytics
"
        Manada Technology LLC","Harrisburg, PA",Unknown,Data Scientist/Machine Learning Engineer
"

        Facebook","Boston, MA",Unknown,"Data Scientist, Infrastructure Strategy Intern"
"

        kraken","San Francisco, CA",Unknown,Data Scientist
"

        SparkCognition","Austin, TX",Unknown,Data Scientist
"

        Sam's Club","Bentonville, AR",Unknown,Data Scientist - Sam's Club Technology (a division of Walmart)
"

        HMS","Irving, TX",Unknown,Jr Data Scientist
"

        IBM",United States,Unknown,Data Scientist
"

        Microsoft","Cambridge, MA",Unknown,MAIDAP Data Scientist- Students and Recent Graduates
"
        Duolingo","Pittsburgh, PA",Unknown,"Data Scientist, New Graduate (2020)"
"

        GM Financial","Fort Worth, TX",Unknown,Data Scientist
"

        Zillow","Seattle, WA",Unknown,Data Scientist - Intern
"

        Best Buy","Watertown, MA",Unknown,Data Scientist
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"
        Goldfinch Bio","Cambridge, MA",Unknown,Computational Biologist/Data Scientist
"

        Bloomberg","New York, NY",Unknown,Enterprise Data - Quant Researcher (Machine Learning)
"

        eBay Inc.","San Francisco, CA",Unknown,Revenue Modeling Data Scientist
"

        Porch","Seattle, WA",Unknown,Senior Data Scientist
"

        Inspire Brands","Atlanta, GA",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        Metron, Inc.","Reston, VA",Unknown,Data Scientist
"
        Zioqu","San Diego, CA",Unknown,Data Scientist
"

        Zillow Group","Seattle, WA",Unknown,"Data Scientist, Zillow Offers"
"
        Accolite, Inc.","Plano, TX",Unknown,Data Scientist
"
        A³ by Airbus","Sunnyvale, CA",Unknown,Data Scientist Internship
"
        Whizglobal","Irving, TX",Unknown,Data Scientist
"
        RightPlace Consulting","Austin, TX",Unknown,Data Scientist and/or Software Engineer
"
        Ace-stack LLC","San Jose, CA","


                            $80 an hour

",Data Analyst / Data Scientist
"
        Viola AI","Boulder, CO",Unknown,Data Scientist
"

        MassMutual","Amherst, MA",Unknown,Jr. Data Scientist- Data Science Development Program
"
        Romph & Pou Agency","Shreveport, LA",Unknown,DATA SCIENTIST
"

        Akvelon, Inc.","Redmond, WA",Unknown,Senior Data Scientist (AP1888)
"
        Faraday Inc","Burlington, VT",Unknown,Data science frontend engineer
"

        Frontline Asset Strategies","Minneapolis, MN",Unknown,Data Scientist (aka Data Analyst)
"

        USAA","Plano, TX",Unknown,Data Scientist I
"

        Sierra Nevada Corporation","Herndon, VA",Unknown,Data Scientist I
"
        Techprofy","Atlanta, GA","


                            $50 - $60 an hour

",Data Scientist
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"

        TRANZACT","Fort Lee, NJ","


                            $90,000 - $125,000 a year

",Senior Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,SWE Data Scientist
"

        Siemens",United States,Unknown,Data Scientist 1
"
        Nespon IT Services","Farmers Branch, TX","


                            $65 - $70 an hour

",Data Scientist
"

        SAP","Bellevue, WA",Unknown,Data Scientist
"
        Tekcogono","Jersey, GA",Unknown,Data Scientist
"

        IBM",United States,Unknown,Junior Data Scientist - Client Facing
"

        Bank of America","Richardson, TX",Unknown,Data Scientist I
"

        Apple","Santa Clara Valley, CA",Unknown,Data Scientist and Visualization Specialist
"
        Unsupervised","Boulder, CO",Unknown,Data Scientist
"

        DELL","Austin, TX",Unknown,Transformation Data Scientist
"

        Unisys","Sterling, VA",Unknown,Data Scientist
"

        Deloitte","Chicago, IL",Unknown,Data Scientist - Hux
"
        Kimberly-Clark Corporation, LLC","Neenah, WI",Unknown,Data Protection Officer
"

        Battelle","Albany, OR",Unknown,Machine Learning Data Scientist
"

        Disney Streaming Services","New York, NY",Unknown,Data Scientist - Experimentation
"

        Deloitte","Washington, DC",Unknown,Junior Data Scientist- Secret Clearance
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"

        Verizon","Irving, TX",Unknown,Data Scientist
"

        eBay Inc.","San Jose, CA",Unknown,Data scientist
"

        AETNA","New York, NY",Unknown,Data Scientist - 64411BR
"
        Community Care Collaborative","Austin, TX",Unknown,Data Scientist
"

        Google","Seattle, WA",Unknown,"Data Scientist Intern, PhD, 2020"
"

        Informa","Dallas, TX",Unknown,Data Scientist
"
        Honey","Boulder, CO",Unknown,Data Scientist
"

        Apple","Santa Clara Valley, CA",Unknown,Fitness Performance Data Scientist
"
        BPMLinks","Denver, CO",Unknown,Data Scientist
"
        Avancer Corporation","East Liberty, OH",Unknown,Data Scientist
"

        Sony Interactive Entertainment PlayStation","San Diego, CA",Unknown,Data Scientist Intern
"
        Physera",United States,Unknown,Data Scientist
"
        eviCore healthcare","Boston, MA","


                            $125,000 - $140,000 a year

",Senior Machine Learning Data Scientist
"

        Inspire Brands","Atlanta, GA",Unknown,Lead Data Scientist - Advanced Analytics
"

        Emerald Resource Group","Columbus, OH","


                            $85,000 - $105,000 a year

",Data Scientist - Ph.D.
"
        S5 Stratos","Dallas, TX",Unknown,Data Scientist/Statistician (Statistical Modeling)
"
        A Database Company","Redwood City, CA","


                            $150,000 a year

",Senior Data Scientist
"

        Realtor.com","Santa Clara, CA",Unknown,Staff Data Scientist
"

        Harbor Wholesale Foods","Lacey, WA",Unknown,Head Data Scientist
"

        AEP Energy Inc","Columbus, OH",Unknown,Data Scientist
"

        NTT DATA Services","Plano, TX",Unknown,Data Scientist
"

        IBM","Research Triangle Park, NC",Unknown,2020 Intern - Data Scientist Intern/Coop (EO&S)
"

        Sony Pictures Entertainment Inc.","Culver City, CA",Unknown,Data Scientist
"
        Cerebri AI","Austin, TX",Unknown,Data Scientist
"

        LOCKHEED MARTIN CORPORATION","Fort Worth, TX",Unknown,Data Scientist Stf
"

        Microsoft","Redmond, WA",Unknown,Internship Opportunities for PhD Students: Data & Applied Sciences
"

        Cloudflare","Austin, TX",Unknown,Data Scientist
"

        Google","Mountain View, CA",Unknown,"Data Scientist, Operations Data Science"
"

        Oklahoma City Thunder","Edmond, OK",Unknown,Analyst Intern - Data Science & Solutions
"

        Viacom",United States,Unknown,"Internships, Data Strategy/Data Science- Summer 2020"
"

        Hewlett Packard Enterprise","San Jose, CA",Unknown,Data Scientist Intern
"

        Verizon","Denver, CO",Unknown,Data Scientist
"

        Deloitte","Greensboro, NC",Unknown,Data Scientist - Hux
"

        Lucid Motors","Newark, CA",Unknown,Data Engineer/Scientist for Autonomous Driving Data Cloud
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist
"

        Porch","Seattle, WA",Unknown,Lead Data Scientist
"

        Specialized Bicycle Components","Morgan Hill, CA",Unknown,Data Scientist
"

        VF Corporation","Denver, CO",Unknown,Data Scientist
"

        ExxonMobil","Spring, TX",Unknown,Data Scientist (PhD)
"

        BOEING","Bellevue, WA",Unknown,Data Science & Analytics Intern (Paid) - Summer 2020
"

        Paylocity",Remote,Unknown,Data Scientist
"

        IBM",United States,Unknown,2020 Intern - Data Scientist
"
        Numero Data LLC","Herndon, VA","


                            $70,000 a year

",Data Scientist (Jr)
"

        Amazon.com Services, Inc.","Austin, TX",Unknown,Senior Data Scientist
"

        Spotify","New York, NY",Unknown,"Data Scientist, Marketplace – all levels"
"

        Phillips 66","Houston, TX",Unknown,2020 University New Hire - Data Scientist/Analytics
"

        Charles River Laboratories","Newark, DE",Unknown,Data Review Scientist
"

        UCLA Health","Los Angeles, CA",Unknown,Health Analytics Data Scientist
"

        Shelter Insurance","Columbia, MO","


                            $43,735 - $63,677 a year

",Say Insurance Data Analyst
"
        HVH Precision Analytics","New York, NY",Unknown,Senior Data Scientist
"

        CVS Health","New York, NY",Unknown,Data Science Full-Time Student Opportunity (Graduate)
"

        Public Consulting Group","Albany, NY",Unknown,Data Scientist
"

        Lockheed Martin Corporation","Milwaukee, WI",Unknown,Data Scientist Analyst
"

        Broadcom","San Diego, CA",Unknown,Data Scientist
"

        Builder Homesite, Inc.","Austin, TX",Unknown,Data Scientist
"

        BBVA Compass","Houston, TX",Unknown,Data Specialist/Scientist
"
        ANALYTOS",United States,Unknown,Junior Data Scientist
"
        Alpha Capital Partners LLC","Houston, TX",Unknown,Data Scientist
"
        4th-IR","New York, NY",Unknown,Data Scientist
"

        JP Morgan Chase","New York, NY",Unknown,CCB - Quantitative Modeler / Data Scientist - Associate
"

        SAIC","Houston, TX",Unknown,NASA SMAEC Data Scientist
"

        Ball Aerospace","Boulder, CO",Unknown,Data Scientist I (668421)
"

        Customer Value Partners","Washington, DC",Unknown,Data Scientist - Entry Level
"

        Perspecta","Washington, DC",Unknown,Data Scientist
"
        Fortune 500 client of Nabler","Burbank, CA","


                            $100,000 - $160,000 a year

",Senior Data Scientist - Advanced Analytics (763882)
"

        eBay Inc.","San Jose, CA",Unknown,Data Scientist 1
"
        Intuceo - iCube CSI Company","Jacksonville, FL",Unknown,Sr. Data Scientist
"

        Verizon","Irving, TX",Unknown,Data Scientist
"

        Argonne National Laboratory","Lemont, IL",Unknown,Data Scientist - Life Sciences
"

        Polaris Industries","Minneapolis, MN",Unknown,Data Scientist
"

        World Wide Technology, Inc.",Remote,Unknown,Data Scientist
"

        Chase Bank","Columbus, OH",Unknown,Marketing Data Mining Scientist
"
        PERITUS.AI","Palo Alto, CA",Unknown,Data Scientist
"

        Facebook","Seattle, WA",Unknown,"Data Scientist, Analytics (Integrity)"
"

        Southern California Edison","Rosemead, CA",Unknown,Junior Data Scientist
"
        Arosys","Sunnyvale, CA",Unknown,Data Scientist / Data Analyst
"
        NetOrbit","Atlanta, GA",Unknown,Data Scientist
"

        Options Clearing Corporation","Chicago, IL","


                            $90,000 - $139,500 a year

",Data Scientist
"

        Averhealth",Missouri,Unknown,Remote-Data Review Scientist
"

        Insurity","Denver, CO",Unknown,Data Scientist
"

        USAA","San Antonio, TX",Unknown,Data Scientist I - Marketing
"

        Tesla","Seattle, WA",Unknown,Data Scientist/Machine Learning Engineer
Unknown,"Franklin, TN",Unknown,Data Scientist
"

        Verizon","Alpharetta, GA",Unknown,Data Scientist
"
        Devoted Health",United States,Unknown,Data Scientist- Analytics
"

        Discovery Communications, LLC","Bellevue, WA",Unknown,Data Scientist
"

        HP","San Diego, CA",Unknown,Data Scientist Intern - Pricing Strategy and Analytics
"
        SConcept","New York, NY","


                            $75,000 - $80,000 a year

",Jr. Data Scientist
"

        Collins Aerospace","Rockford, IL",Unknown,JUNIOR DATA SCIENTIST
"

        National Renewable Energy Laboratory",Remote,Unknown,Computational Scientist – Physics based identification of anomalous sensor data through machine learning and edge computing
"
        N C Q A","Washington, DC",Unknown,Data Scientist
"

        Wish","Seattle, WA",Unknown,Data Scientist
"

        Coupang","Mountain View, CA",Unknown,Data Scientist (Summer Intern)
"

        AT&T","Collinsville, IL",Unknown,Data Scientist (Government)
"

        Internal Data Resources","Sandy Springs, GA",Unknown,Data Scientist
"

        GTN Technical Staffing","Tempe, AZ","


                            $113,000 a year

",Liquidity Data Scientist
"

        Central Logic","South Jordan, UT",Unknown,Data Scientist
"
        MORSE Corp","Cambridge, MA",Unknown,Atmospheric Data Scientist
"

        DISYS","San Francisco, CA","


                            $60 - $65 an hour

",BI Developer/Data Scientist
"
        Spry Health","Palo Alto, CA","


                            $100,000 - $135,000 a year

",Data Scientist
"

        Google","Austin, TX",Unknown,"Data Science Consultant, Engineering Support Analytics, Google Cloud"
"

        Beghou Consulting",United States,Unknown,Data Scientist
"

        Spin Systems","Charleston, SC",Unknown,Junior Data Scientist
"

        Grainger","Lake Forest, IL",Unknown,Data Scientist
"

        Cigna",United States,Unknown,Data Scientist
"
        Desh Technology Inc.","New York, NY","


                            $70,000 - $120,000 a year

",Data Scientist
"

        Jnit Technologies","San Jose, CA",Unknown,Data Scientist
"

        ExtraHop Networks, Inc.","Seattle, WA",Unknown,Intern Data Scientist
"

        EAB","Washington, DC",Unknown,Associate Data Scientist (Full Time Starting Summer 2020)
"

        Takeda Pharmaceuticals","Lexington, MA",Unknown,Principal Data Scientist (USBU)
"

        Great West Casualty Company","South Sioux City, NE","


                            $18 an hour

",Predictive Modeler Intern
"

        BP","Denver, CO",Unknown,Data Scientist
"

        Freedom Financial Network","Tempe, AZ",Unknown,Sr. Data Analyst (2 Positions Open)
